SourceFile,AggregationType,Application,AppVersion,AudioBitrate,AudioLayer,Author,BackgroundColor,BitDepth,BitsPerSample,BlueMatrixColumn,BlueTRC,BlueX,BlueY,ByteOrderMark,Bytes,Category,Changed,ChannelMode,Characters,CharactersWithSpaces,ChromaticAdaptation,CMMFlags,CodePage,ColorComponents,ColorSpaceData,ColorType,ColumnCount,Columns,Comments,Company,CompObjUserType,CompObjUserTypeLen,Compression,ConnectionSpaceIlluminant,ContentType,Copyright,CopyrightFlag,CoverDate,CoverDisplayDate,Created,CreateDate,Creation-date,CreationDate--Text,CreationTime,Creator,CreatorTool,CrossmarkDomainExclusive,CrossMarkDomains,CrossMarkDomains_1_,CrossMarkDomains_2_,CrossmarkMajorVersionDate,CsrfParam,CsrfToken,CurrentUser,D2ei2ntb7zgeLzdiGzn-zsNNztr8lwj8yM-GyM3_ziKnMqPngn7o9eOn9yRmMaModi,Date,Datecreate,Datemodify,DCTERMSIssued,DCTERMSLanguage,DCTERMSModified,DCTERMSSource,DCTERMSTitle,Delimiter,DerivedFromDocumentID,DerivedFromInstanceID,DerivedFromOriginalDocumentID,DerivedFromRenditionClass,Description,DeviceAttributes,DeviceManufacturer,DeviceModel,Directory,DocFlags,DocSecurity,Document-statisticCell-count,Document-statisticCharacter-count,Document-statisticImage-count,Document-statisticNon-whitespace-character-count,Document-statisticObject-count,Document-statisticPage-count,Document-statisticParagraph-count,Document-statisticTable-count,Document-statisticWord-count,DocumentID,Doi,Dpi,Duration,Editing-cycles,Editing-duration,ElsevierWebPDFSpecifications,Emphasis,Encoder,EncodingProcess,EndingPage,ExifByteOrder,ExifImageHeight,ExifImageWidth,ExifToolVersion,Fig_height,Fig_width,FileAccessDate,FileInodeChangeDate,FileModifyDate,FileName,FilePermissions,FileSize,FileType,FileTypeExtension,Filter,Fontsize,Format,Gamma,Generator,GreenMatrixColumn,GreenTRC,GreenX,GreenY,HasXFA,HeadingPairs,HiddenSlides,HistoryAction,HistoryChanged,HistoryParameters,HistorySoftwareAgent,HistoryWhen,HTTPEquivXUACompatible,HyperlinksChanged,ID3Size,Identification,Identifier,ImageHeight,ImageSize,ImageWidth,InstanceID,IntensityStereo,Interlace,ISSN,JFIFVersion,Journal_article_version,Keywords,Language,LanguageCode,LastModifiedBy,LastPrinted,Linearized,LineCount,Lines,LinksUpToDate,MajorVersionDate,Manager,Marked,MediaBlackPoint,MediaWhitePoint,Megapixels,MetadataDate,MIMEEncoding,MIMEType,MMClips,ModifyDate,MPEGAudioVersion,MSStereo,Newlines,Notes,Number,OriginalDocumentID,OriginalMedia,Output,PageCount,PageLayout,PageMode,PageRange,Pages,Palette,Paragraphs,Pdf_document,PDFVersion,PixelsPerUnitX,PixelsPerUnitY,PixelUnits,PresentationFormat,PresentationTarget,PreviewImage,PreviewPNG,PrimaryPlatform,Print-date,Printed-by,Producer,ProfileClass,ProfileCMMType,ProfileConnectionSpace,ProfileCopyright,ProfileCreator,ProfileDateTime,ProfileDescription,ProfileDescriptionML,ProfileDescriptionML-ar-EG,ProfileDescriptionML-ca-ES,ProfileDescriptionML-cs-CZ,ProfileDescriptionML-da-DK,ProfileDescriptionML-de-DE,ProfileDescriptionML-el-GR,ProfileDescriptionML-es-ES,ProfileDescriptionML-fi-FI,ProfileDescriptionML-fr-FU,ProfileDescriptionML-he-IL,ProfileDescriptionML-hr-HR,ProfileDescriptionML-hu-HU,ProfileDescriptionML-it-IT,ProfileDescriptionML-ja-JP,ProfileDescriptionML-ko-KR,ProfileDescriptionML-nb-NO,ProfileDescriptionML-nl-NL,ProfileDescriptionML-pl-PL,ProfileDescriptionML-pt-BR,ProfileDescriptionML-pt-PO,ProfileDescriptionML-ro-RO,ProfileDescriptionML-ru-RU,ProfileDescriptionML-sk-SK,ProfileDescriptionML-sv-SE,ProfileDescriptionML-th-TH,ProfileDescriptionML-tr-TR,ProfileDescriptionML-uk-UA,ProfileDescriptionML-zh-CN,ProfileDescriptionML-zh-TW,ProfileFileSignature,ProfileID,ProfileName,ProfileVersion,PTEX_Fullbanner,PublicationName,Publisher,Quoting,RedMatrixColumn,RedTRC,RedX,RedY,RenderingIntent,RenditionClass,ResolutionUnit,RevisionNumber,Robots,RowCount,SampleRate,ScaleCrop,SharedDoc,SignificantBits,Slides,Software,SRGBRendering,StartingPage,Subject,Subtitle,System,Tag_TemplateID,TaggedPDF,Template,Title,TitleOfParts,TitlesOfParts,TotalEditTime,Trapped,URL,Version,Viewport,Volume,Warning,WhitePointX,WhitePointY,Word97,WordCount,Words,X9O3Cowz9ndyNntmGndqLysNNotn_lt78ngeGmwmNngvmdj-yMuRo9ePnM-QntmLndaTma,XMPToolkit,XResolution,XslVendor,YCbCrSubSampling,YResolution,ZipBitFlag,ZipCompressedSize,ZipCompression,ZipCRC,ZipFileName,ZipModifyDate,ZipRequiredVersion,ZipUncompressedSize,ZjJBNnM3-ogmJnMaGndz9ysNNzgj7lt-MmtuGngr_z937ndmJyPeKo9eQmd6Rmt-NmtaTma
/home/roomal/Documents/School/Warehouse/Consolidated/PSY2410 - Exam-2/Chapter-6.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,authenticity_token,pOI67cg9bAkeeBrpvoRbyHEsHIzM48INbkLxocaCIsuwqlgn9bTXvrfPtU6AV1pBQX62rLtUOoUIjClzKHn6lg==,,,,,,,,,,,,,,,,Slides,,,,/home/roomal/Documents/School/Warehouse/Consolidated/PSY2410 - Exam-2,,,,,,,,,,,,,,,,,,,,,,,,,,11.88,,,2025:02:15 20:33:18+01:00,2025:02:15 20:30:15+01:00,2024:02:23 08:43:10+01:00,Chapter-6.html,rw-rw-r--,1942 kB,HTML,html,,,,,,,,,,,,,,,,,,"IE=edge,chrome=1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,text/html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chapter 6 Consulting: Slides,,,,,,,"width=device-width, initial-scale=1.0",,,,,,,,,,,,,,,,,,,,,,
/home/roomal/Documents/School/Warehouse/Consolidated/PSY2410 - Exam-2/Chapter-5.html,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/roomal/Documents/School/Warehouse/Consolidated/PSY2410 - Exam-2,,,,,,,,,,,,,,,,,,,,,,,,,,11.88,,,2025:02:15 20:33:18+01:00,2025:02:15 20:30:15+01:00,2024:03:04 02:47:44+01:00,Chapter-5.html,rw-rw-r--,39 kB,TXT,txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1116,,,,,,,,,,utf-8,text/plain,,,,,Unix LF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3543,,,,,,,,,,,,,,,,
/home/roomal/Documents/School/Warehouse/Consolidated/PSY2410 - Exam-2/Chapter5.pptx,,Microsoft Office PowerPoint,16.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013:09:20 12:47:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/roomal/Documents/School/Warehouse/Consolidated/PSY2410 - Exam-2,,,,,,,,,,,,,,,,,,,,,,,,,,11.88,,,2025:02:15 20:33:18+01:00,2025:02:15 20:30:15+01:00,2024:02:12 23:01:49+01:00,Chapter5.pptx,rw-rw-r--,211 kB,PPTX,pptx,,,,,,,,,,,"Fonts Used, 4, Theme, 1, Slide Titles, 22",0,,,,,,,No,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,application/vnd.openxmlformats-officedocument.presentationml.presentation,0,2024:02:10 18:30:29Z,,,,16,,,,,,,,,,,126,,,,,,Custom,,"(Binary data 5628 bytes, use -b option to extract)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,No,No,,22,,,,,,,TC034606069991,,Class 4 September 26 2013,,,"굴림, Arial, Century Gothic, Wingdings, Class 4 September 26 2013,   CHAPTER 5:  Assessment: Overview, Goals of Assessment, Evidence Based Assessment, PowerPoint Presentation, PowerPoint Presentation, Goals of Assessment, Screening, Diagnosis and Treatment Selection, Diagnosis and Treatment Selection, Prognosis, Treatment Monitoring, Assessment Challenges, What is psychological test?, Key Psychological Test Terms, Psychological Testing: Standardization, Psychological Testing: Norms, Psychological Testing: Validity, Content Validity, Construct Validity, Criterion Validity, Psychological Testing: Reliability, Some Differences between Testing and Assessment",0,,,,,,,,,,,646,,,,,,,0x0006,693,Deflated,0xabc2115c,[Content_Types].xml,1980:01:01 00:00:00,20,9049,
/home/roomal/Documents/School/Warehouse/Consolidated/PSY2410 - Exam-2/Terms.ods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024:02:13 22:56:03.997660514,,,,,,,,,,,,,,2024:02:14 12:29:42.597939814,,,,,,,,,,,,,,,,,/home/roomal/Documents/School/Warehouse/Consolidated/PSY2410 - Exam-2,,,76,,,,0,,,1,,,,,,2,PT13H32M3S,,,,,,,,,11.88,,,2025:02:15 20:33:18+01:00,2025:02:15 20:30:15+01:00,2024:02:15 04:46:55+01:00,Terms.ods,rw-rw-r--,39 kB,ODS,ods,,,,,LibreOffice/7.6.4.1$Linux_X86_64 LibreOffice_project/60$Build-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,application/vnd.oasis.opendocument.spreadsheet,,,,,,,,,,,,,,,,,,,,,,,,,,"(Binary data 29527 bytes, use -b option to extract)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/home/roomal/Documents/School/Warehouse/Consolidated/PSY2410 - Exam-2/Chapter4.odt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024:02:07 07:40:58.915597678,,,,,,,,,,,,,,2024:08:14 07:04:07.294331845,,,,,,,,,,,,,,,,,/home/roomal/Documents/School/Warehouse/Consolidated/PSY2410 - Exam-2,,,,19421,0,17058,0,9,286,0,2897,,,,,3,PT1H28M23S,,,,,,,,,11.88,,,2025:02:15 20:33:18+01:00,2025:02:15 20:30:15+01:00,2024:08:14 07:04:07+02:00,Chapter4.odt,rw-rw-r--,29 kB,ODT,odt,,,,,LibreOffice/6.4.7.2$Linux_X86_64 LibreOffice_project/40$Build-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,application/vnd.oasis.opendocument.text,,,,,,,,,,,,,,,,,,,,,,,,,,"(Binary data 11616 bytes, use -b option to extract)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/home/roomal/Documents/School/Warehouse/Consolidated/PSY2410 - Exam-2/notes.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/roomal/Documents/School/Warehouse/Consolidated/PSY2410 - Exam-2,,,,,,,,,,,,,,,,,,,,,,,,,,11.88,,,2025:02:15 20:33:18+01:00,2025:02:15 20:30:15+01:00,2024:02:16 04:34:58+01:00,notes.txt,rw-rw-r--,5.3 kB,TXT,txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,us-ascii,text/plain,,,,,Unix LF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,793,,,,,,,,,,,,,,,,
"/home/roomal/Documents/School/Warehouse/Consolidated/PSY3180-30540/DOCX/Of Mice and Man - Review of Kleinridders, A. et al. (2015).docx",,LibreOffice/6.4.7.2$Linux_X86_64 LibreOffice_project/40$Build-2,15.0000,,,,,,,,,,,,,,,,28479,32681,,,,,,,,,,,,,,,,,,,,,2024:06:02 10:25:31Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/roomal/Documents/School/Warehouse/Consolidated/PSY3180-30540/DOCX,,,,,,,,,,,,,,,,,,,,,,,,,,11.88,,,2025:02:15 20:33:18+01:00,2025:02:15 20:30:15+01:00,2024:08:14 08:40:25+02:00,"Of Mice and Man - Review of Kleinridders, A. et al. (2015).docx",rw-rw-r--,36 kB,DOCX,docx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en-US,,,,,,,,,,,,,,,,application/vnd.openxmlformats-officedocument.wordprocessingml.document,,2024:08:14 07:34:13Z,,,,,,,,,,,,,19,,784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,1.1 hours,,,,,,,,,,,5117,,,,,,,0x0808,234,Deflated,0xaf17a595,_rels/.rels,2024:08:14 06:40:24,20,727,
"/home/roomal/Documents/School/Warehouse/Consolidated/PSY3390-44348/Emotion and Motivation and the Central Nervous System/Emotion and Motivation and the Central Nervous System PPT/CH 6 Emotion, Motivation, and the Central Nervous.pptx",,Microsoft Office PowerPoint,16.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023:10:15 15:53:27Z,,,,Adrian Camden,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/roomal/Documents/School/Warehouse/Consolidated/PSY3390-44348/Emotion and Motivation and the Central Nervous System/Emotion and Motivation and the Central Nervous System PPT,,,,,,,,,,,,,,,,,,,,,,,,,,11.88,,,2025:02:15 20:33:18+01:00,2025:02:15 20:30:15+01:00,2023:10:17 07:54:18+02:00,"CH 6 Emotion, Motivation, and the Central Nervous.pptx",rw-rw-r--,14 MB,PPTX,pptx,,,,,,,,,,,"Fonts Used, 4, Theme, 1, Slide Titles, 39",0,,,,,,,No,,,,,,,,,,,,,,,,Adrian,,,,,No,,,,,,,,,application/vnd.openxmlformats-officedocument.presentationml.presentation,1,2023:10:17 00:01:30Z,,,,0,,,,,,,,,,,251,,,,,,Widescreen,,"(Binary data 6989 bytes, use -b option to extract)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,No,No,,39,,,,,,,,,,"Emotion, Motivation, and the Central Nervous System",,"Arial, Calibri, Elephant, Univers Condensed, MemoVTI, Emotion, Motivation, and the Central Nervous System, Emotion, Motivation, and the Central Nervous System, Emotion, Motivation, and the Central Nervous System, Emotion, Motivation, and the Central Nervous System, Emotion, Motivation, and the Central Nervous System, Emotion, Motivation, and the Central Nervous System, Emotion, Motivation, and the Central Nervous System, Emotion, Motivation, and the Central Nervous System, Emotion, Motivation, and the Central Nervous System, Emotion, Motivation, and the Central Nervous System, Emotion, Motivation, and the Central Nervous System, Emotion, Motivation, and the Central Nervous System, Emotion, Motivation, and the Central Nervous System, Emotion, Motivation, and the Central Nervous System, Emotion, Motivation, and the Central Nervous System, Emotion, Motivation, and the Central Nervous System, Emotion, Motivation, and the Central Nervous System, Emotion, Motivation, and the Central Nervous System, Emotion, Motivation, and the Central Nervous System, Emotion, Motivation, and the Central Nervous System, Emotion, Motivation, and the Central Nervous System, Emotion, Motivation, and the Central Nervous System, Emotion, Motivation, and the Central Nervous System, Emotion, Motivation, and the Central Nervous System, Emotion, Motivation, and the Central Nervous System, Emotion, Motivation, and the Central Nervous System, Emotion, Motivation, and the Central Nervous System, Emotion, Motivation, and the Central Nervous System, Emotion, Motivation, and the Central Nervous System, Emotion, Motivation, and the Central Nervous System, Emotion, Motivation, and the Central Nervous System, Emotion, Motivation, and the Central Nervous System, Emotion, Motivation, and the Central Nervous System, Emotion, Motivation, and the Central Nervous System, Emotion, Motivation, and the Central Nervous System, Emotion, Motivation, and the Central Nervous System, Emotion, Motivation, and the Central Nervous System, Emotion, Motivation, and the Central Nervous System, Emotion, Motivation, and the Central Nervous System",9.8 hours,,,,,,,,,,,2266,,,,,,,0x0006,703,Deflated,0x4a7f1599,[Content_Types].xml,1980:01:01 00:00:00,20,9588,
/home/roomal/Documents/School/Warehouse/Consolidated/PSY3390-44348/General/Course Syllabus/PSY 3390 Emotion.docx,,Microsoft Office Word,16.0000,,,,,,,,,,,,,,,,20463,24004,,,,,,,,,,,,,,,,,,,,,2023:08:30 14:37:00Z,,,,Adrian Camden,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/roomal/Documents/School/Warehouse/Consolidated/PSY3390-44348/General/Course Syllabus,,None,,,,,,,,,,,,,,,,,,,,,,,,11.88,,,2025:02:15 20:33:18+01:00,2025:02:15 20:30:15+01:00,2023:11:12 18:26:16+01:00,PSY 3390 Emotion.docx,rw-rw-r--,35 kB,DOCX,docx,,,,,,,,,,,"Title, 1",,,,,,,,No,,,,,,,,,,,,,,,,Adrian,,,,170,No,,,,,,,,,application/vnd.openxmlformats-officedocument.wordprocessingml.document,,2023:11:12 23:24:00Z,,,,,,,,,,,,,10,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,No,No,,,,,,,,,,,Normal,,,,19.8 hours,,,,,,,,,,,3589,,,,,,,0x0006,358,Deflated,0x576f9132,[Content_Types].xml,1980:01:01 00:00:00,20,1445,
/home/roomal/Documents/School/Warehouse/Consolidated/PSY3390-44348/Emotion and Motivation/The Nature of Emotion and Motivation PPT/The Nature of Emotion and Motivation.pptx,,Microsoft Office PowerPoint,16.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023:09:10 13:23:36Z,,,,Adrian Camden,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/roomal/Documents/School/Warehouse/Consolidated/PSY3390-44348/Emotion and Motivation/The Nature of Emotion and Motivation PPT,,,,,,,,,,,,,,,,,,,,,,,,,,11.88,,,2025:02:15 20:33:18+01:00,2025:02:15 20:30:15+01:00,2023:09:13 21:08:48+02:00,The Nature of Emotion and Motivation.pptx,rw-rw-r--,3.4 MB,PPTX,pptx,,,,,,,,,,,"Fonts Used, 5, Theme, 1, Slide Titles, 21",0,,,,,,,No,,,,,,,,,,,,,,,,Adrian Camden,,,,,No,,,,,,,,,application/vnd.openxmlformats-officedocument.presentationml.presentation,0,2023:09:14 01:07:20Z,,,,0,,,,,,,,,,,98,,,,,,Widescreen,,"(Binary data 9012 bytes, use -b option to extract)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,No,No,,21,,,,,,,,,,PowerPoint Presentation,,"Arial, Calibri, Franklin Gothic Demi Cond, Franklin Gothic Medium, Wingdings, JuxtaposeVTI, The Nature of Emotion and Motivation, The Nature of Emotion and Motivation, The Nature of Emotion and Motivation, The Nature of Emotion and Motivation, The Nature of Emotion and Motivation, The Nature of Emotion and Motivation, The Nature of Emotion and Motivation, The Nature of Emotion and Motivation, The Nature of Emotion and Motivation, The Nature of Emotion and Motivation, The Nature of Emotion and Motivation, The Nature of Emotion and Motivation, The Nature of Emotion and Motivation, The Nature of Emotion and Motivation, The Nature of Emotion and Motivation, The Nature of Emotion and Motivation, The Nature of Emotion and Motivation, The Nature of Emotion and Motivation, The Nature of Emotion and Motivation, The Nature of Emotion and Motivation, The Nature of Emotion and Motivation",13.6 hours,,,,,,,,,,,589,,,,,,,0x0006,653,Deflated,0xcaa425ec,[Content_Types].xml,1980:01:01 00:00:00,20,7841,
